"filename", "language", "CMake Cache", "CMake", "JSON", "C++", "Makefile", "TypeScript", "comment", "blank", "total"
"g:\Project\VsCode_project\Smooth\build\.cmake\api\v1\reply\cache-v2-0da768c5928ec0e16cf8.json", "JSON", 0, 0, -1847, 0, 0, 0, 0, -1, -1848
"g:\Project\VsCode_project\Smooth\build\.cmake\api\v1\reply\cache-v2-2ba1062ca2ddbc3214bd.json", "JSON", 0, 0, 1991, 0, 0, 0, 0, 1, 1992
"g:\Project\VsCode_project\Smooth\build\.cmake\api\v1\reply\cmakeFiles-v1-4c365fc34bff580b0593.json", "JSON", 0, 0, 331, 0, 0, 0, 0, 1, 332
"g:\Project\VsCode_project\Smooth\build\.cmake\api\v1\reply\cmakeFiles-v1-c4c88cfb1ec899cb663c.json", "JSON", 0, 0, -290, 0, 0, 0, 0, -1, -291
"g:\Project\VsCode_project\Smooth\build\.cmake\api\v1\reply\codemodel-v2-4215e4e81d5a0c8e074c.json", "JSON", 0, 0, -209, 0, 0, 0, 0, -1, -210
"g:\Project\VsCode_project\Smooth\build\.cmake\api\v1\reply\codemodel-v2-4786f8f1c8db28e4e320.json", "JSON", 0, 0, 319, 0, 0, 0, 0, 1, 320
"g:\Project\VsCode_project\Smooth\build\.cmake\api\v1\reply\directory-engine.3rdparty.glm-Debug-67f29283bee00d7996d9.json", "JSON", 0, 0, 14, 0, 0, 0, 0, 1, 15
"g:\Project\VsCode_project\Smooth\build\.cmake\api\v1\reply\directory-engine.3rdparty.glm.glm-Debug-81be807bac51b8b42f09.json", "JSON", 0, 0, 14, 0, 0, 0, 0, 1, 15
"g:\Project\VsCode_project\Smooth\build\.cmake\api\v1\reply\directory-engine.3rdparty.tinyobjloader-Debug-6711a320fac8a1ad32d0.json", "JSON", 0, 0, 134, 0, 0, 0, 0, 1, 135
"g:\Project\VsCode_project\Smooth\build\.cmake\api\v1\reply\index-2023-03-20T04-23-35-0510.json", "JSON", 0, 0, -132, 0, 0, 0, 0, -1, -133
"g:\Project\VsCode_project\Smooth\build\.cmake\api\v1\reply\index-2023-03-22T07-57-14-0948.json", "JSON", 0, 0, 132, 0, 0, 0, 0, 1, 133
"g:\Project\VsCode_project\Smooth\build\.cmake\api\v1\reply\target-SmoothEditor-Debug-180c1cac97f6735cf8ba.json", "JSON", 0, 0, -217, 0, 0, 0, 0, -1, -218
"g:\Project\VsCode_project\Smooth\build\.cmake\api\v1\reply\target-SmoothEditor-Debug-ff6618108bd18a3f07c8.json", "JSON", 0, 0, 240, 0, 0, 0, 0, 1, 241
"g:\Project\VsCode_project\Smooth\build\.cmake\api\v1\reply\target-SmoothRuntime-Debug-1319f6ac19cd98fcb241.json", "JSON", 0, 0, -238, 0, 0, 0, 0, -1, -239
"g:\Project\VsCode_project\Smooth\build\.cmake\api\v1\reply\target-SmoothRuntime-Debug-4c44a237aeba64e948bd.json", "JSON", 0, 0, 346, 0, 0, 0, 0, 1, 347
"g:\Project\VsCode_project\Smooth\build\.cmake\api\v1\reply\target-glm_static-Debug-9f731d65a81d097a5e51.json", "JSON", 0, 0, 2686, 0, 0, 0, 0, 1, 2687
"g:\Project\VsCode_project\Smooth\build\.cmake\api\v1\reply\target-stb-Debug-e77a91cc269af0a744f3.json", "JSON", 0, 0, 176, 0, 0, 0, 0, 1, 177
"g:\Project\VsCode_project\Smooth\build\.cmake\api\v1\reply\target-tinyobjloader-Debug-26dd7dea295fba594aa5.json", "JSON", 0, 0, 125, 0, 0, 0, 0, 1, 126
"g:\Project\VsCode_project\Smooth\build\.cmake\api\v1\reply\target-uninstall-Debug-0c8a7c514143671f90a4.json", "JSON", 0, 0, 70, 0, 0, 0, 0, 1, 71
"g:\Project\VsCode_project\Smooth\build\CMakeCache.txt", "CMake Cache", 21, 0, 0, 0, 0, 0, 0, 12, 33
"g:\Project\VsCode_project\Smooth\build\CMakeFiles\Makefile.cmake", "CMake", 0, 20, 0, 0, 0, 0, 0, 0, 20
"g:\Project\VsCode_project\Smooth\build\CMakeFiles\VerifyGlobs.cmake", "CMake", 0, 30, 0, 0, 0, 0, 0, 2, 32
"g:\Project\VsCode_project\Smooth\build\Makefile", "Makefile", 0, 0, 0, 0, 63, 0, 24, 20, 107
"g:\Project\VsCode_project\Smooth\build\compile_commands.json", "JSON", 0, 0, 35, 0, 0, 0, 0, 0, 35
"g:\Project\VsCode_project\Smooth\build\engine\3rdparty\CMakeFiles\stb.dir\DependInfo.cmake", "CMake", 0, 13, 0, 0, 0, 0, 0, 6, 19
"g:\Project\VsCode_project\Smooth\build\engine\3rdparty\CMakeFiles\stb.dir\cmake_clean.cmake", "CMake", 0, 4, 0, 0, 0, 0, 0, 2, 6
"g:\Project\VsCode_project\Smooth\build\engine\3rdparty\CMakeFiles\stb.dir\compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 1, 3
"g:\Project\VsCode_project\Smooth\build\engine\3rdparty\Makefile", "Makefile", 0, 0, 0, 0, 36, 0, 8, 8, 52
"g:\Project\VsCode_project\Smooth\build\engine\3rdparty\cmake_install.cmake", "CMake", 0, 8, 0, 0, 0, 0, 0, 2, 10
"g:\Project\VsCode_project\Smooth\build\engine\3rdparty\glfw\Makefile", "Makefile", 0, 0, 0, 0, 35, 0, 8, 8, 51
"g:\Project\VsCode_project\Smooth\build\engine\3rdparty\glfw\src\Makefile", "Makefile", 0, 0, 0, 0, 35, 0, 8, 8, 51
"g:\Project\VsCode_project\Smooth\build\engine\3rdparty\glm\CMakeFiles\CMakeDirectoryInformation.cmake", "CMake", 0, 12, 0, 0, 0, 0, 0, 5, 17
"g:\Project\VsCode_project\Smooth\build\engine\3rdparty\glm\CTestTestfile.cmake", "CMake", 0, 7, 0, 0, 0, 0, 0, 1, 8
"g:\Project\VsCode_project\Smooth\build\engine\3rdparty\glm\Makefile", "Makefile", 0, 0, 0, 0, 97, 0, 48, 46, 191
"g:\Project\VsCode_project\Smooth\build\engine\3rdparty\glm\cmake_install.cmake", "CMake", 0, 37, 0, 0, 0, 0, 0, 9, 46
"g:\Project\VsCode_project\Smooth\build\engine\3rdparty\glm\glm\CMakeFiles\CMakeDirectoryInformation.cmake", "CMake", 0, 12, 0, 0, 0, 0, 0, 5, 17
"g:\Project\VsCode_project\Smooth\build\engine\3rdparty\glm\glm\CMakeFiles\glm_static.dir\DependInfo.cmake", "CMake", 0, 14, 0, 0, 0, 0, 0, 6, 20
"g:\Project\VsCode_project\Smooth\build\engine\3rdparty\glm\glm\CMakeFiles\glm_static.dir\cmake_clean.cmake", "CMake", 0, 10, 0, 0, 0, 0, 0, 2, 12
"g:\Project\VsCode_project\Smooth\build\engine\3rdparty\glm\glm\CMakeFiles\glm_static.dir\cmake_clean_target.cmake", "CMake", 0, 3, 0, 0, 0, 0, 0, 1, 4
"g:\Project\VsCode_project\Smooth\build\engine\3rdparty\glm\glm\CMakeFiles\glm_static.dir\compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 1, 3
"g:\Project\VsCode_project\Smooth\build\engine\3rdparty\glm\glm\CTestTestfile.cmake", "CMake", 0, 6, 0, 0, 0, 0, 0, 1, 7
"g:\Project\VsCode_project\Smooth\build\engine\3rdparty\glm\glm\Makefile", "Makefile", 0, 0, 0, 0, 124, 0, 54, 55, 233
"g:\Project\VsCode_project\Smooth\build\engine\3rdparty\glm\glm\cmake_install.cmake", "CMake", 0, 33, 0, 0, 0, 0, 0, 7, 40
"g:\Project\VsCode_project\Smooth\build\engine\3rdparty\tinyobjloader\CMakeFiles\CMakeDirectoryInformation.cmake", "CMake", 0, 12, 0, 0, 0, 0, 0, 5, 17
"g:\Project\VsCode_project\Smooth\build\engine\3rdparty\tinyobjloader\CMakeFiles\Export\lib\tinyobjloader\cmake\tinyobjloader-targets-debug.cmake", "CMake", 0, 15, 0, 0, 0, 0, 0, 5, 20
"g:\Project\VsCode_project\Smooth\build\engine\3rdparty\tinyobjloader\CMakeFiles\Export\lib\tinyobjloader\cmake\tinyobjloader-targets.cmake", "CMake", 0, 82, 0, 0, 0, 0, 0, 13, 95
"g:\Project\VsCode_project\Smooth\build\engine\3rdparty\tinyobjloader\CMakeFiles\tinyobjloader.dir\DependInfo.cmake", "CMake", 0, 14, 0, 0, 0, 0, 0, 6, 20
"g:\Project\VsCode_project\Smooth\build\engine\3rdparty\tinyobjloader\CMakeFiles\tinyobjloader.dir\cmake_clean.cmake", "CMake", 0, 10, 0, 0, 0, 0, 0, 2, 12
"g:\Project\VsCode_project\Smooth\build\engine\3rdparty\tinyobjloader\CMakeFiles\tinyobjloader.dir\cmake_clean_target.cmake", "CMake", 0, 3, 0, 0, 0, 0, 0, 1, 4
"g:\Project\VsCode_project\Smooth\build\engine\3rdparty\tinyobjloader\CMakeFiles\tinyobjloader.dir\compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 1, 3
"g:\Project\VsCode_project\Smooth\build\engine\3rdparty\tinyobjloader\CMakeFiles\uninstall.dir\DependInfo.cmake", "CMake", 0, 13, 0, 0, 0, 0, 0, 6, 19
"g:\Project\VsCode_project\Smooth\build\engine\3rdparty\tinyobjloader\CMakeFiles\uninstall.dir\cmake_clean.cmake", "CMake", 0, 7, 0, 0, 0, 0, 0, 2, 9
"g:\Project\VsCode_project\Smooth\build\engine\3rdparty\tinyobjloader\CMakeFiles\uninstall.dir\compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 1, 3
"g:\Project\VsCode_project\Smooth\build\engine\3rdparty\tinyobjloader\Makefile", "Makefile", 0, 0, 0, 0, 133, 0, 57, 58, 248
"g:\Project\VsCode_project\Smooth\build\engine\3rdparty\tinyobjloader\cmake_install.cmake", "CMake", 0, 69, 0, 0, 0, 0, 0, 13, 82
"g:\Project\VsCode_project\Smooth\build\engine\3rdparty\tinyobjloader\cmake_uninstall.cmake", "CMake", 0, 20, 0, 0, 0, 0, 0, 2, 22
"g:\Project\VsCode_project\Smooth\build\engine\3rdparty\tinyobjloader\tinyobjloader-config-version.cmake", "CMake", 0, 60, 0, 0, 0, 0, 0, 11, 71
"g:\Project\VsCode_project\Smooth\build\engine\3rdparty\tinyobjloader\tinyobjloader-config.cmake", "CMake", 0, 16, 0, 0, 0, 0, 0, 8, 24
"g:\Project\VsCode_project\Smooth\build\engine\3rdparty\tinyobjloader\tinyobjloader-targets.cmake", "CMake", 0, 54, 0, 0, 0, 0, 0, 10, 64
"g:\Project\VsCode_project\Smooth\build\engine\Makefile", "Makefile", 0, 0, 0, 0, 35, 0, 8, 8, 51
"g:\Project\VsCode_project\Smooth\build\engine\source\editor\CMakeFiles\SmoothEditor.dir\DependInfo.cmake", "CMake", 0, 1, 0, 0, 0, 0, 0, 0, 1
"g:\Project\VsCode_project\Smooth\build\engine\source\editor\Makefile", "Makefile", 0, 0, 0, 0, 35, 0, 8, 8, 51
"g:\Project\VsCode_project\Smooth\build\engine\source\runtime\CMakeFiles\SmoothRuntime.dir\DependInfo.cmake", "CMake", 0, 6, 0, 0, 0, 0, 0, 0, 6
"g:\Project\VsCode_project\Smooth\build\engine\source\runtime\CMakeFiles\SmoothRuntime.dir\cmake_clean.cmake", "CMake", 0, 10, 0, 0, 0, 0, 0, 0, 10
"g:\Project\VsCode_project\Smooth\build\engine\source\runtime\Makefile", "Makefile", 0, 0, 0, 0, 125, 0, 23, 38, 186
"g:\Project\VsCode_project\Smooth\engine\source\editor\include\editor_input_manager.h", "C++", 0, 0, 0, 5, 0, 0, 0, 3, 8
"g:\Project\VsCode_project\Smooth\engine\source\editor\source\editor_input_manager.cpp", "C++", 0, 0, 0, 1, 0, 0, 0, -1, 0
"g:\Project\VsCode_project\Smooth\engine\source\runtime\core\math.h", "C++", 0, 0, 0, 5, 0, 0, 0, 1, 6
"g:\Project\VsCode_project\Smooth\engine\source\runtime\tool\render\default_camera.cpp", "C++", 0, 0, 0, 32, 0, 0, 0, 5, 37
"g:\Project\VsCode_project\Smooth\engine\source\runtime\tool\render\default_camera.h", "C++", 0, 0, 0, 33, 0, 0, 1, 9, 43
"g:\Project\VsCode_project\Smooth\engine\source\runtime\tool\render\mesh.cpp", "C++", 0, 0, 0, 58, 0, 0, 14, 11, 83
"g:\Project\VsCode_project\Smooth\engine\source\runtime\tool\render\mesh.h", "C++", 0, 0, 0, 38, 0, 0, 0, 10, 48
"g:\Project\VsCode_project\Smooth\engine\source\runtime\tool\render\model.cpp", "C++", 0, 0, 0, 136, 0, 0, 7, 34, 177
"g:\Project\VsCode_project\Smooth\engine\source\runtime\tool\render\model.h", "C++", 0, 0, 0, 22, 0, 0, 0, 7, 29
"g:\Project\VsCode_project\Smooth\engine\source\runtime\tool\render\render_camera.cpp", "C++", 0, 0, 0, 28, 0, 0, 0, 9, 37
"g:\Project\VsCode_project\Smooth\engine\source\runtime\tool\render\render_camera.h", "C++", 0, 0, 0, 36, 0, 0, 0, 10, 46
"g:\Project\VsCode_project\Smooth\engine\source\runtime\tool\render\shader.cpp", "C++", 0, 0, 0, 146, 0, 0, 23, 4, 173
"g:\Project\VsCode_project\Smooth\engine\source\runtime\tool\render\shader.h", "C++", 0, 0, 0, 31, 0, 0, 16, 4, 51
"g:\Project\VsCode_project\Smooth\engine\source\runtime\tool\render\texture.cpp", "C++", 0, 0, 0, 33, 0, 0, 0, 6, 39
"g:\Project\VsCode_project\Smooth\engine\source\runtime\tool\render\texture.h", "C++", 0, 0, 0, 13, 0, 0, 0, 1, 14
"g:\Project\VsCode_project\Smooth\engine\source\runtime\tool\render\window_system.h", "C++", 0, 0, 0, -4, 0, 0, 0, 1, -3
"Total", "-", 21, 601, 3680, 613, 718, 8, 307, 527, 6475